student_id,assignment_id,1,2,3,4,5,6,7,8,9,10,11,12
000000000001,690123456789,1,1,1,-1,1,1,1,1,1,-1,1,1
000000000002,690123456789,1,1,1,-1,1,-1,1,1,1,1,-1,1
000000000003,690123456789,1,-1,1,1,-1,1,1,1,-1,1,1,1
000000000004,690123456789,1,-1,1,1,1,1,1,1,1,1,1,-1
000000000005,690123456789,1,1,1,1,1,1,1,1,1,1,1,1
000000000006,903395004539,1,1,-1,1,1,-1,1,1,1,1,0,0
000000000007,903395004539,1,1,-1,-1,1,1,1,-1,1,1,0,0
000000000008,903395004539,1,1,1,1,1,1,1,1,1,1,0,0
000000000009,903395004539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
000000000010,903395004539,-1,1,1,-1,1,1,1,1,1,-1,0,0
000000000011,398722927990,1,1,1,-1,1,1,1,1,1,-1,0,0
000000000012,398722927990,1,1,1,1,-1,1,1,1,1,-1,0,0
000000000013,398722927990,1,1,1,1,1,-1,1,1,1,-1,0,0
000000000014,398722927990,1,1,1,1,1,1,-1,1,1,-1,0,0
000000000015,398722927990,1,1,1,1,1,1,1,1,1,-1,0,0
000000000016,690123456789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
000000000017,690123456789,1,-1,1,1,1,1,1,-1,-1,1,1,1
000000000018,690123456789,1,1,1,1,-1,1,1,1,1,-1,1,1
000000000019,690123456789,1,1,1,-1,1,1,1,1,1,-1,1,1
000000000020,690123456789,1,1,1,-1,-1,1,1,1,1,1,-1,1
000000000021,903395004539,1,1,-1,1,1,-1,1,1,-1,1,0,0
000000000022,903395004539,1,1,1,-1,1,-1,1,1,1,1,0,0
000000000023,903395004539,1,1,1,1,1,1,1,-1,1,-1,0,0
000000000024,903395004539,1,1,1,1,1,1,1,-1,1,-1,0,0
000000000025,903395004539,1,1,1,-1,1,1,1,1,1,-1,0,0
000000000026,398722927990,-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,0
000000000027,398722927990,1,1,1,1,1,1,1,-1,1,-1,0,0
000000000028,398722927990,1,1,-1,1,1,-1,1,1,1,-1,0,0
000000000029,398722927990,1,1,1,-1,1,1,1,1,1,-1,0,0
000000000030,398722927990,-1,1,1,1,1,-1,1,-1,1,1,0,0
